Video_Title,Date_Posted,Likes,Dislikes,Views,Comments,Length,Resolution,Speaker_Sex,URL,Normalized_Likes,Normalized_Dislikes,Normalized_Views,Normalized_
How humans could evolve to survive in space ,04/21/2016,4239,238,177395,559,12:52,HD,F,https://www.youtube.com/watch?v=CtvIX4s1bTU,0.013678932,0.016658466,0.008299932,0.021767964
How I held my breath for 17 minutes ,01/19/2010,305350,9812,20736461,25635,20:19,SD,M,https://www.youtube.com/watch?v=XFnGhrC_3Gs,1,0.689604274,1,1
How to escape education's death valley ,05/10/2013,101816,1550,4811287,5509,19:12,HD,M,https://www.youtube.com/watch?v=wX78iKhInsc,0.333302761,0.108877486,0.231823268,0.214870875
How to make stress your friend ,09/04/2013,156005,3120,10601755,3780,14M29S,hd,F,https://www.youtube.com/watch?v=RcGyVTAoXEU,0.510804587,0.21923104,0.511135933,0.147421393
How to practice emotional first aid ,02/16/2015,151221,1260,3783484,2884,17:29,HD,M,https://www.youtube.com/watch?v=F2hc2FLOdhI,0.495134087,0.088493709,0.182245515,0.112467816
How to speak up for yourself ,12/16/2016,12050,436,652316,260,15:09,HD,M,https://www.youtube.com/watch?v=MEDgtjpycYg,0.039264692,0.030575666,0.031208521,0.010103768
If I should have a daughter ... ,03/21/2011,128650,1562,5856168,3537,18M29S,sd,F,https://www.youtube.com/watch?v=0snNB1yS3IE,0.421200379,0.109720953,0.282224807,0.137941796
Inge Missmahl brings peace to the minds of Afghanistan,09/29/2010,205,15,21979,51,13:51,SD,F,https://www.youtube.com/watch?v=Jc2F3-nawnI,0.000465136,0.000984044,0.000803188,0.001950534
Inside the mind of a former radical jihadist ,11/14/2016,21100,1443,988954,3274,17:23,HD,M,https://www.youtube.com/watch?v=zwpiI18TBdE,0.068908928,0.101356576,0.047446804,0.127681985
Islamophobia killed my brother. Let's end the hate ,12/05/2016,47159,7716,935539,8079,14:49,HD,F,https://www.youtube.com/watch?v=XiEQmcZi8cM,0.154267951,0.542278766,0.044870244,0.315128345
It's time for women to run for office ,12/02/2016,1112,3096,49377,729,19:19,HD,F,https://www.youtube.com/watch?v=uYaF8p_TNSU,0.003436111,0.217544106,0.002124775,0.028399782
"Jacqueline Novogratz: Tackling poverty with ""patient capita",08/14/2007,127,15,24999,5,20M21S,sd,F,https://www.youtube.com/watch?v=H6kBP9b3I90,0.000209639,0.000984044,0.000948863,0.000156043
"Jessica Jackley: Poverty, money -- and love",10/18/2010,1604,140,147852,328,18M34S,sd,F,https://www.youtube.com/watch?v=Cqj0sgrNL10,0.005047709,0.009770155,0.006874878,0.012756495
Jimmy Carter: Why I believe the mistreatment of women is the number one human rights abuse,06/30/2015,3987,863,161239,1118,16M37S,hd,M,https://www.youtube.com/watch?v=wfW3aZCFfLA,0.012853479,0.060589021,0.007520621,0.04357494
Karen Tse: How to stop torture,12/22/2011,539,34,38537,118,12M44S,sd,F,https://www.youtube.com/watch?v=vEli4dfAXrM,0.001559189,0.002319533,0.00160189,0.004564251
Lesley Hazleton: The doubt essential to faith,06/24/2013,7580,664,322020,1619,13:46,HD,F,https://www.youtube.com/watch?v=6ORDQFh0Byw,0.024622732,0.046601532,0.015276155,0.063119295
Letting go of God ,01/16/2007,11123,2055,850457,5431,17:18,SD,F,https://www.youtube.com/watch?v=OtIyx687ytk,0.036228205,0.144373375,0.040766175,0.211828041
"Leymah Gbowee: Unlock the intelligence, passion, greatness of girls",03/28/2012,2494,276,177653,313,14M40S,hd,F,https://www.youtube.com/watch?v=QxkxcsrveLw,0.007962999,0.019329444,0.008312377,0.012171335
"Lisa Gansky: The future of business is the ""mesh""",02/18/2011,195,67,35505,41,14M48S,sd,F,https://www.youtube.com/watch?v=IHBGLHgIWJM,0.00043238,0.004639067,0.001455637,0.001560428
Mark Roth: Suspended animation is within our grasp,03/15/2010,1419,34,90290,253,18:42,SD,M,https://www.youtube.com/watch?v=uVAaZVz9pDs,0.004441722,0.002319533,0.004098281,0.009830694
Melinda French Gates: What nonprofits can learn from Coca-Cola,10/12/2010,2072,313,280832,433,17M,sd,F,https://www.youtube.com/watch?v=GlUS6KE67Vs,0.006580693,0.021930133,0.013289385,0.016852618
Mena Trott: How blogs are building a friendlier world,01/16/2007,95,18,13212,4,17:32,SD,F,https://www.youtube.com/watch?v=RlBTxuWCuL8,0.000104819,0.001194911,0.000380298,0.000117032
Mustafa Akyol: Faith versus tradition in Islam,05/26/2011,1563,747,104125,691,17:13,SD,M,https://www.youtube.com/watch?v=5tUn_uoYKoE,0.004913409,0.05243551,0.004765634,0.026917375
My year of saying yes to everything ,03/09/2016,37033,1199,1402551,1521,18:45,HD,F,https://www.youtube.com/watch?v=gmj-azFbpkA,0.121099162,0.084206087,0.067397329,0.059296247
Nathan Myhrvold: Cut your food in half,07/05/2011,1450,335,192228,258,10M6S,sd,M,https://www.youtube.com/watch?v=-vo01ldlTQc,0.004543266,0.023476488,0.009015426,0.010025747
On being wrong ,04/26/2011,6551,210,565268,451,17:52,SD,F,https://www.youtube.com/watch?v=QleRgTBMX88,0.021252133,0.014690377,0.027009619,0.01755481
Paddy Ashdown: The global power shift,01/05/2012,1681,267,124737,380,18M30S,sd,M,https://www.youtube.com/watch?v=zuAj2F54bdo,0.005299931,0.018696844,0.005759888,0.014785051
"Paul Collier: 4 ways to improve the lives of the ""bottom bil",06/02/2008,250,21,50386,72,18M56S,sd,M,https://www.youtube.com/watch?v=VhAD0dMslB8,0.000612538,0.001405778,0.002173446,0.002769759
Paul Collier's new rules for rebuilding a broken nation,06/24/2009,267,35,28674,73,16M35S,sd,M,https://www.youtube.com/watch?v=TvW4yugCPZo,0.000668224,0.002389822,0.001126132,0.00280877
"Paul Zak: Trust, morality - and oxytocin",11/01/2011,5112,181,273663,447,16:35,SD,M,https://www.youtube.com/watch?v=rFAdlU2ETjU,0.016538536,0.012652,0.012943576,0.017398767
Rethinking infidelity ... a talk for anyone who has ever loved ,05/21/2015,140585,5420,9236313,7927,21M31S,hd,F,https://www.youtube.com/watch?v=P2AUat93a8Q,0.460294739,0.38089548,0.445271612,0.30919872
Rev. Tom Honey: How could God have allowed the tsunami?,05/17/2007,300,83,33280,150,21M30S,sd,M,https://www.youtube.com/watch?v=2wdkxdiOFJA,0.000776319,0.005763689,0.00134831,0.005812593
Richard Baraniuk on open-source learning,01/12/2007,527,29,98699,98,19M20S,sd,M,https://www.youtube.com/watch?v=RRymi-lFHpE,0.001519881,0.001968089,0.004503902,0.003784037
Rick Guidotti: From stigma to supermodel,07/15/2015,122,5,11349,5,18M9S,hd,M,https://www.youtube.com/watch?v=I4PU2JlhO80,0.000193261,0.000281156,0.000290433,0.000156043
Rory Stewart: Why democracy matters,10/29/2012,801,254,66549,477,13:42,HD,M,https://www.youtube.com/watch?v=IuQZ21spTRg,0.002417397,0.017783088,0.002953095,0.018569088
Roz Savage: Why I'm rowing across the Pacific,04/28/2010,528,38,41812,72,17:21,SD,F,https://www.youtube.com/watch?v=dXqPaHQp4Xw,0.001523157,0.002600689,0.001759865,0.002769759
Shukla Bose: Teaching one child at a time,03/30/2010,449,34,53008,57,16:54,SD,F,https://www.youtube.com/watch?v=n8eyF4UWG38,0.001264384,0.002319533,0.002299923,0.002184599
"Smash fear, learn anything ",04/16/2009,12112,472,944064,505,16M26S,sd,M,https://www.youtube.com/watch?v=iPE2_iCCo0w,0.039467779,0.033106066,0.045281461,0.019661387
"Stanley McChrystal: Listen, learn ... then lead",04/06/2011,3774,277,511546,330,15M39S,sd,M,https://www.youtube.com/watch?v=FmpIMt95ndU,0.012155775,0.019399733,0.024418251,0.012834517
Stefan Larsson: What doctors can learn from each other,11/14/2013,745,22,53325,37,12M57S,hd,M,https://www.youtube.com/watch?v=AFRmGkdXkxA,0.002233963,0.001476067,0.002315214,0.001404385
The art of asking ,03/01/2013,98996,2400,5887785,4181,13M48S,hd,F,https://www.youtube.com/watch?v=xMj_P_6H69g,0.324065551,0.168623041,0.283749904,0.16306468
The art of asking ,03/01/2013,98996,2400,5887785,4181,13M48S,hd,F,https://www.youtube.com/watch?v=xMj_P_6H69g,0.324065551,0.168623041,0.283749904,0.16306468
The economic injustice of plastic ,01/21/2011,610,182,44496,224,13M20S,sd,M,https://www.youtube.com/watch?v=FjvjSlpJoqo,0.001791757,0.012722289,0.001889332,0.008699384
The Exhilarating Peace of Freediving ,01/06/2016,3857,224,183505,197,19:11,HD,M,https://www.youtube.com/watch?v=Rai3pwH3XrU,0.01242765,0.015674422,0.008594658,0.007646095
The happy secret to better work ,02/01/2012,39842,611,3284903,877,12M21S,sd,M,https://www.youtube.com/watch?v=fLJsdqxnZb0,0.13030034,0.042876221,0.158195647,0.034173364
The opportunity of adversity ,02/19/2010,3643,249,545375,404,21M59S,sd,F,https://www.youtube.com/watch?v=dTwXeZ4GkzI,0.01172667,0.017431644,0.026050048,0.015721308
The politics of fiction ,07/19/2010,5392,166,318553,331,20M16S,sd,F,https://www.youtube.com/watch?v=Zq7QPnqLoUk,0.017455706,0.011597666,0.015108919,0.012873527
The power of herd immunity (with English subtitles) ,02/25/2015,546,123,53869,451,14:46,HD,F,https://www.youtube.com/watch?v=dWObti8KNc4,0.001582118,0.008575244,0.002341454,0.01755481
The power of introverts ,03/02/2012,246615,3061,10850906,14437,19:05,HD,F,https://www.youtube.com/watch?v=c0KYU2j0TM4,0.807607268,0.215083995,0.523154137,0.563158305
The power of vulnerability ,01/03/2011,192116,3976,13897900,3877,20:50,SD,F,https://www.youtube.com/watch?v=iCvmsMzlF7o,0.629090004,0.279398327,0.670130861,0.15120543
The sound the universe makes ,03/15/2011,2043,133,166282,325,17:44,SD,F,https://www.youtube.com/watch?v=eLz9TvxGoKs,0.0064857,0.009278133,0.007763879,0.012639463
The surprising science of happiness ,04/26/2012,30803,1308,3571276,1347,21M20S,sd,M,https://www.youtube.com/watch?v=4q1dgn_C0AU,0.100692136,0.091867576,0.172009316,0.052508387
The Untapped Genius That Could Change Science for the Better ,01/07/2016,900,642,55538,459,13:43,HD,F,https://www.youtube.com/watch?v=3NdSVi38RM8,0.002741682,0.045055177,0.002421961,0.017866896
The voices in my head ,08/08/2013,32298,602,2015823,2049,14:18,HD,F,https://www.youtube.com/watch?v=syjEN3peCJw,0.105589167,0.042243621,0.096979504,0.079893891
"Tim Harford: Trial, error and the God complex",07/15/2011,4870,130,293322,391,18:07,SD,M,https://www.youtube.com/watch?v=K5wCfYujRdE,0.015745839,0.009067266,0.01389186,0.015214169
Trita Parsi: Iran and Israel: Peace is possible,10/09/2013,785,116,58353,236,10M46S,hd,M,https://www.youtube.com/watch?v=8w-OZFBcwZc,0.002364988,0.008083222,0.002557747,0.009167512
Wadah Khanfar: A historic moment in the Arab world,03/05/2011,353,29,27452,42,17:13,HD,M,https://www.youtube.com/watch?v=yKQnL9Mmgng,0.000949926,0.001968089,0.001067187,0.001599438
Want to be happy? Be grateful ,11/27/2013,31673,1788,2569912,1413,14M31S,hd,M,https://www.youtube.com/watch?v=UtBsl3j0YRQ,0.103541913,0.125606242,0.123706891,0.055083093
Why does the universe exist? ,09/02/2014,58672,14228,6058731,21922,17M22S,hd,M,https://www.youtube.com/watch?v=zORUUqJd81M,0.191980006,1,0.291995763,0.855153312
Why good leaders make you feel safe ,05/19/2014,84724,1554,5621418,1564,12:00,HD,M,https://www.youtube.com/watch?v=lmyZMtPVodo,0.277316099,0.109158642,0.270901258,0.060973707
Why humans run the world ,07/24/2015,51777,1504,2059281,2938,17:09,HD,M,https://www.youtube.com/watch?v=nzj7Wg4DAbs,0.169394701,0.105644198,0.099075772,0.114574393
Why the best hire might not have the perfect resume ,12/21/2015,7692,256,536505,351,10:32,HD,F,https://www.youtube.com/watch?v=jiDQDLnEXdA,0.0249896,0.017923666,0.025622189,0.013653741
Yasheng Huang: Does democracy stifle economic growth?,09/12/2011,899,126,65610,307,18:52,SD,M,https://www.youtube.com/watch?v=UR-uWwvpn5c,0.002738407,0.008786111,0.002907801,0.011937271
Your brain on video games ,11/19/2012,167876,11338,6331536,22826,17M58S,hd,F,https://www.youtube.com/watch?v=FktsFcooIG8,0.549689309,0.796865116,0.305154957,0.890418975
"Zainab Salbi: Women, wartime and the dream of peace",11/24/2010,831,106,57612,159,19:47,SD,F,https://www.youtube.com/watch?v=SS8T-f2srSw,0.002515666,0.007380333,0.002522004,0.006163689
